Supplier_ID,Supplier_Name,City,State,Supplier_Category,Supplier_Status
SUP001, FlowTech Industries pvt ltd,Surat,Maharashtra,Motor,Active
SUP002,Precision Engineering Works,Gurugram,Punjab,Rubber/Elastomer,Active
SUP003,APEX INDUSTRIAL SOLUTIONS PVT LTD,Kolkata,Tamil Nadu,Electrical,Active
SUP004,bharat metal components pvt ltd,Faridabad,Karnataka,Motor,Active
SUP005,Omega Engineering Pvt. Ltd.,Gurugram,Punjab,Metal Components,Inactive
SUP006,Techno Fluid systems Pvt Ltd,Ahmedabad,Karnataka,Rubber/Elastomer,Active
SUP007,Prime Industrial Supplies,Ludhiana,Tamil Nadu,Electrical,Inactive
SUP008, Metro Engineering Works,Faridabad,Maharashtra,Motor,Inactive
SUP009,SHAKTI industrial products pvt ltd,Noida,Haryana,Rubber/Elastomer,Inactive
SUP010,Industrial Components india Pvt Ltd,Mumbai,Telangana,Bearings,Active
SUP011,Alpha Precision engg pvt ltd,Surat,Delhi,Motor,Active
SUP012,Zenith Engineering Solutions,Surat,Uttar Pradesh,Machined Parts,Active
SUP013,Advance Fluid Tech Pvt Ltd,Pune,Uttar Pradesh,Machined Parts,Active
SUP014,Global Pump Components Pvt ltd,Mumbai,Delhi,Metal Components,Active
SUP015,Pioneer engineering works,Jaipur,Gujarat,Motor,Active
SUP016,SUPREME INDUSTRIAL PRODUCTS PVT LTD,Noida,Tamil Nadu,Machined Parts,Active
SUP017,Elite Metal Industries,Ahmedabad,Karnataka,Machined Parts,Inactive
SUP018,Reliable Engineering Co,Delhi,West Bengal,Metal Components,Active
SUP019,Dynamic Fluid Systems Pvt. Ltd,Pune,Karnataka,Rubber/Elastomer,Active
SUP020,Infinity Industrial Solutions,Mumbai,Gujarat,Metal Components,Inactive
SUP021,Falcon Engg Pvt Ltd,Delhi,Uttar Pradesh,Machined Parts,Active
SUP022,NextGen Industrial Components,Jaipur,Uttar Pradesh,Metal Components,Active
SUP023,Max Flow Engineering Works,Kolkata,Karnataka,Electrical,Active
SUP024,Crystal Metal Products pvt ltd,Jaipur,Telangana,Machined Parts,Active
SUP025,Sterling engineering solutions,Mumbai,West Bengal,Metal Components,Active
SUP026, Horizon Industrial Supplies Pvt Ltd,Chennai,Rajasthan,Metal Components,Active
SUP027,Vertex Engineering,Surat,Uttar Pradesh,Machined Parts,Inactive
SUP028,Pioneer Pump Technologies,Hyderabad,Rajasthan,Rubber/Elastomer,Active
SUP029,Uni Tech Engineering Works,Ludhiana,Punjab,Rubber/Elastomer,Active
SUP030,Nova Industrial Components Pvt Ltd,Ludhiana,Gujarat,Bearings,Inactive
SUP031,Titan Metal Industries,Gurugram,West Bengal,Machined Parts,Inactive
SUP032,Accura Engineering Solutions,Kolkata,Maharashtra,Rubber/Elastomer,Inactive
SUP033,Sigma Industrial Products,Kolkata,Punjab,Motor,Active
SUP034,Smart Flow Technologies Pvt Ltd,Chennai,Karnataka,Machined Parts,Inactive
SUP035,Royal engineering works,Kolkata,Punjab,Electrical,Active
SUP036,Trident Industrial Systems,Mumbai,Punjab,Motor,Active
SUP037,Blue Wave Engineering Pvt Ltd,Bengaluru,Karnataka,Bearings,Active
SUP038,EVEREST INDUSTRIAL SOLUTIONS,Hyderabad,Gujarat,Rubber/Elastomer,Active
SUP039,Vision Metal Components,Ahmedabad,Tamil Nadu,Bearings,Active
SUP040,Green Tech Engineering Pvt Ltd,Bengaluru,Delhi,Electrical,Active
