Product_ID,Product_Name,Category,Model_No,Capacity,Pressure,Unit_Cost,Unit_Price
PROD0001,Dosing Pump,Pump,HPC032STM0.37,0.4,12,36199.79,50000
PROD0002,Dosing Pump,Pump,HPC0912STM0.37,0.1,12,32923.86,50000
PROD0003,Dosing Pump,Pump,HPC1000STM0.37,0.2,6,39707.42,60000
PROD0004,Dosing Pump,Pump,HPC061STM0.55,0.8,6,39018.68,60000
PROD0005,Dosing Pump,Pump,HPC062STM0.75,0.8,12,37480.08,60000
PROD0006,Dosing Pump,Pump,HPC062STM1.1,0.8,12,43549.63,65000
PROD0007,Dosing Pump,Pump,HPC064STM1.1,0.5,24,45441.53,70000
PROD0008,Dosing Pump,Pump,HPC064STM1.5,0.5,24,48130.5,70000
PROD0009,Screw Pump,Pump,HPC091CF0.55,1.2,6,56742.57,75000
PROD0010,Screw Pump,Pump,HPC091CF0.75,1.2,6,58413.91,75000
PROD0011,Screw Pump,Pump,HPC091CF0.55,1.2,6,42608.32,75000
PROD0012,Screw Pump,Pump,HPC091CF0.75,1.2,6,47885.79,75000
PROD0013,Screw Pump,Pump,HPC091SF0.55,1.2,6,47324.99,80000
PROD0014,Screw Pump,Pump,HPC091SF0.75,1.2,6,50479.02,80000
PROD0015,Screw Pump,Pump,HPC091SF0.75,1.2,6,49289.5,80000
PROD0016,Screw Pump,Pump,HPC091SF0.55,1.2,6,47211.48,80000
PROD0017,Screw Pump,Pump,HPC092CF1.1,1.2,12,65316.37,90000
PROD0018,Screw Pump,Pump,HPC092CF1.5,1.2,12,62429.76,94000
PROD0019,Screw Pump,Pump,HPC092CF1.1,1.2,12,72335.52,95000
PROD0020,Screw Pump,Pump,HPC092CF1.5,1.2,12,52962.14,95000
PROD0021,Screw Pump,Pump,HPC092SF1.1,1.2,12,53713.47,95000
PROD0022,Screw Pump,Pump,HPC092SF1.5,1.2,12,61061.53,95000
PROD0023,Screw Pump,Pump,HPC092SF1.1,1.2,12,55709.45,98000
PROD0024,Screw Pump,Pump,HPC092SF1.5,1.2,12,59821.93,98000
PROD0025,Screw Pump,Pump,HPC121CF0.75,2.5,6,63696.52,82000
PROD0026,Screw Pump,Pump,HPC121CF1.1,2.5,6,50835.16,85000
PROD0027,Screw Pump,Pump,HPC121CF0.75,2.5,6,54792.17,92000
PROD0028,Screw Pump,Pump,HPC121CF1.1,2.5,6,64784.05,95000
PROD0029,Screw Pump,Pump,HPC121SF0.75,2.5,6,66453.96,100000
PROD0030,Screw Pump,Pump,HPC121SF1.1,2.5,6,68350.08,100000
PROD0031,Screw Pump,Pump,HPC121SF0.75,2.5,6,63664.91,100000
PROD0032,Screw Pump,Pump,HPC121SF1.1,2.5,6,77716.31,105000
PROD0033,Screw Pump,Pump,HPC122CF1.5,2.5,12,57023.61,98000
PROD0034,Screw Pump,Pump,HPC122CF2.2,2.5,12,63555.97,98000
