Order_Detail_ID,Order_ID,Product_ID,Quantity,Unit_Price,Discount_Percent,Gross_Sales,Discount_Amount,Net_Sales
OD000001,ORD000001,PROD0115,3,158000,0,474000,0,474000
OD000002,ORD000002,PROD0073,1,128000,2,128000,2560,125440
OD000003,ORD000003,PROD0168,7,320000,7,2240000,156800,2083200
OD000004,ORD000003,PROD0146,10,185000,5,1850000,92500,1757500
OD000005,ORD000003,PROD0192,8,135661,10,1085288,108528.8,976759.2
OD000006,ORD000004,PROD0074,2,132000,5,264000,13200,250800
OD000007,ORD000004,PROD0065,3,110000,0,330000,0,330000
OD000008,ORD000004,PROD0096,3,165000,10,495000,49500,445500
OD000009,ORD000005,PROD0166,3,267000,15,801000,120150,680850
OD000010,ORD000006,PROD0101,7,138000,5,966000,48300,917700
OD000011,ORD000006,PROD0068,8,120000,0,960000,0,960000
OD000012,ORD000007,PROD0182,3,295189,0,885567,0,885567
OD000013,ORD000007,PROD0079,6,142000,7,852000,59640,792360
OD000014,ORD000007,PROD0176,5,450000,0,2250000,0,2250000
OD000015,ORD000008,PROD0128,4,250000,0,1000000,0,1000000
OD000016,ORD000008,PROD0013,2,80000,2,160000,3200,156800
OD000017,ORD000009,PROD0099,1,134000,7,134000,9380,124620
OD000018,ORD000010,PROD0139,10,210000,2,2100000,42000,2058000
OD000019,ORD000011,PROD0184,7,79485,5,556395,27819.75,528575.25
OD000020,ORD000012,PROD0109,9,150000,5,1350000,67500,1282500
OD000021,ORD000012,PROD0003,3,60000,7,180000,12600,167400
OD000022,ORD000012,PROD0071,3,128000,2,384000,7680,376320
OD000023,ORD000013,PROD0194,6,285723,0,1714338,0,1714338
OD000024,ORD000014,PROD0099,7,134000,0,938000,0,938000
OD000025,ORD000015,PROD0077,8,138000,0,1104000,0,1104000
OD000026,ORD000015,PROD0176,6,450000,0,2700000,0,2700000
OD000027,ORD000016,PROD0084,5,140000,2,700000,14000,686000
OD000028,ORD000016,PROD0155,6,220000,0,1320000,0,1320000
OD000029,ORD000017,PROD0005,3,60000,7,180000,12600,167400
OD000030,ORD000017,PROD0114,2,155500,0,311000,0,311000
OD000031,ORD000017,PROD0005,3,60000,15,180000,27000,153000
OD000032,ORD000018,PROD0036,4,102000,0,408000,0,408000
OD000033,ORD000018,PROD0109,8,150000,2,1200000,24000,1176000
OD000034,ORD000019,PROD0124,9,178000,7,1602000,112140,1489860
OD000035,ORD000019,PROD0024,9,98000,10,882000,88200,793800
OD000036,ORD000020,PROD0100,4,135000,0,540000,0,540000
OD000037,ORD000020,PROD0082,10,138000,7,1380000,96600,1283400
OD000038,ORD000020,PROD0090,10,145000,7,1450000,101500,1348500
OD000039,ORD000021,PROD0163,9,225000,5,2025000,101250,1923750
OD000040,ORD000021,PROD0189,1,235752,5,235752,11787.6,223964.4
OD000041,ORD000022,PROD0015,7,80000,2,560000,11200,548800
OD000042,ORD000022,PROD0199,3,63002,2,189006,3780.12,185225.88
OD000043,ORD000023,PROD0011,9,75000,0,675000,0,675000
OD000044,ORD000024,PROD0191,3,100130,0,300390,0,300390
OD000045,ORD000025,PROD0124,4,178000,5,712000,35600,676400
OD000046,ORD000026,PROD0148,3,210000,0,630000,0,630000
OD000047,ORD000026,PROD0049,9,95000,0,855000,0,855000
OD000048,ORD000027,PROD0120,6,190000,0,1140000,0,1140000
OD000049,ORD000028,PROD0119,5,185000,5,925000,46250,878750
OD000050,ORD000029,PROD0064,9,150000,5,1350000,67500,1282500
OD000051,ORD000029,PROD0101,6,138000,7,828000,57960,770040
OD000052,ORD000029,PROD0190,7,309979,15,2169853,325477.95,1844375.05
OD000053,ORD000030,PROD0022,2,95000,15,190000,28500,161500
OD000054,ORD000030,PROD0092,4,150000,0,600000,0,600000
OD000055,ORD000031,PROD0068,5,120000,2,600000,12000,588000
OD000056,ORD000031,PROD0041,5,95000,5,475000,23750,451250
OD000057,ORD000032,PROD0096,4,165000,0,660000,0,660000
OD000058,ORD000032,PROD0023,10,98000,0,980000,0,980000
OD000059,ORD000033,PROD0025,4,82000,10,328000,32800,295200
OD000060,ORD000034,PROD0168,6,320000,2,1920000,38400,1881600
OD000061,ORD000035,PROD0064,6,150000,5,900000,45000,855000
OD000062,ORD000035,PROD0066,3,114500,7,343500,24045,319455
OD000063,ORD000036,PROD0133,9,295000,7,2655000,185850,2469150
OD000064,ORD000036,PROD0154,2,200000,10,400000,40000,360000
OD000065,ORD000037,PROD0174,9,325000,10,2925000,292500,2632500
OD000066,ORD000038,PROD0126,6,210000,0,1260000,0,1260000
OD000067,ORD000039,PROD0053,4,108000,5,432000,21600,410400
OD000068,ORD000040,PROD0057,3,135000,0,405000,0,405000
OD000069,ORD000041,PROD0142,8,265000,15,2120000,318000,1802000
OD000070,ORD000042,PROD0171,5,255000,0,1275000,0,1275000
OD000071,ORD000043,PROD0184,6,79485,2,476910,9538.2,467371.8
OD000072,ORD000044,PROD0169,4,220000,10,880000,88000,792000
OD000073,ORD000044,PROD0126,4,210000,5,840000,42000,798000
OD000074,ORD000045,PROD0035,3,98000,0,294000,0,294000
OD000075,ORD000045,PROD0084,10,140000,0,1400000,0,1400000
OD000076,ORD000046,PROD0025,9,82000,5,738000,36900,701100
OD000077,ORD000047,PROD0088,2,155500,5,311000,15550,295450
OD000078,ORD000048,PROD0121,2,160000,5,320000,16000,304000
OD000079,ORD000049,PROD0135,9,350000,0,3150000,0,3150000
OD000080,ORD000049,PROD0047,4,120000,7,480000,33600,446400
OD000081,ORD000050,PROD0140,3,225000,2,675000,13500,661500
OD000082,ORD000051,PROD0067,3,120000,15,360000,54000,306000
OD000083,ORD000051,PROD0140,9,225000,5,2025000,101250,1923750
OD000084,ORD000051,PROD0188,3,254957,10,764871,76487.1,688383.9
OD000085,ORD000052,PROD0058,8,145000,0,1160000,0,1160000
OD000086,ORD000053,PROD0036,5,102000,10,510000,51000,459000
OD000087,ORD000053,PROD0194,5,285723,10,1428615,142861.5,1285753.5
OD000088,ORD000054,PROD0095,4,162000,5,648000,32400,615600
OD000089,ORD000055,PROD0047,1,120000,15,120000,18000,102000
OD000090,ORD000055,PROD0059,1,135000,7,135000,9450,125550
OD000091,ORD000056,PROD0094,2,158000,15,316000,47400,268600
OD000092,ORD000056,PROD0070,3,126000,7,378000,26460,351540
